"record_id,timestamp,date,time,hour,minute,day_of_week,day_number,month,year,week_of_year,season,is_weekend,is_holiday,shift_label,is_morning_peak,is_evening_peak,is_night,hospital_id,hospital_name,hospital_level,er_capacity,patients_in_er,waiting_count,critical_patients,stable_patients,admitted_this_hour,discharged_this_hour,referred_out_this_hour,walk_in_patients,ambulance_arrivals,pediatric_cases,obstetric_cases,dominant_emergency_type,avg_wait_time_min,max_wait_time_min,avg_treatment_time_min,door_to_doctor_min,triage_duration_min,bed_turnover_rate,doctors_on_duty,nurses_on_duty,paramedics_on_duty,duty_doctor_specialist,defibrillator_operational,ct_scan_operational,xray_operational,lab_tat_min,oxygen_status,blood_units_available,ppe_adequate,temperature_celsius,humidity_percent,weather_condition,rain_impact_multiplier,er_load_ratio,icu_load_ratio,bed_occupancy_ratio,load_lag_1h,load_lag_2h,load_lag_24h,load_lag_7d,load_rolling_3h_avg,load_rolling_7d_avg,load_rolling_24h_std,local_event_nearby,highway_accident_reported,epidemic_alert_active,predicted_load_next_1h,er_load_class_next_1h,will_be_overloaded_next_1h"
"1,2023-01-01 20:00:00,2023-01-01,20:00,20,0,Sunday,6,1,2023,52,Winter,1,1,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,60,27,4,56,7,7,1,5,5,6,2,Fracture/Trauma,180.4,345.8,128.3,8.8,11.9,2.8,7,16,1,0,1,1,0,31.4,Full,22,1,33.1,41.5,Cloudy,1.0,1.0,0.762,0.895,1.043,1.06,0.968,0.975,1.034,0.933,0.1541,0,0,0,1.154,Overloaded,1"
"2,2023-01-02 12:00:00,2023-01-02,12:00,12,0,Monday,0,1,2023,1,Winter,0,0,Morning,0,0,0,H001,CMC Vellore,Tertiary,60,60,19,4,51,20,11,4,20,1,8,1,Respiratory Distress,75.3,131.4,31.1,13.2,14.9,4.4,8,20,6,1,1,1,1,80.0,Full,43,1,30.8,64.9,Rain,1.1,1.0,0.861,0.527,0.933,0.957,1.068,1.101,0.963,1.055,0.1697,0,0,0,0.875,High,0"
"3,2023-01-03 02:00:00,2023-01-03,02:00,2,0,Tuesday,1,1,2023,1,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,20,0,2,14,5,2,0,1,5,1,3,Cardiac Arrest,0.0,0.0,99.9,13.4,9.7,0.8,5,12,4,1,1,1,1,55.4,Low,0,1,37.4,63.6,Heavy Rain,1.3,0.333,0.469,0.934,0.305,0.482,0.188,0.33,0.373,0.41,0.1576,0,0,0,0.383,Low,0"
"4,2023-01-04 09:00:00,2023-01-04,09:00,9,0,Wednesday,2,1,2023,1,Winter,0,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,60,27,7,53,0,8,4,7,0,3,0,Road Accident,183.9,299.5,101.2,16.1,2.9,3.2,8,20,5,1,1,1,1,60.7,Full,42,1,26.8,81.9,Clear,1.0,1.0,0.73,0.63,1.02,0.997,0.845,0.931,1.006,1.146,0.1783,0,0,0,1.132,Overloaded,1"
"5,2023-01-05 17:00:00,2023-01-05,17:00,17,0,Thursday,3,1,2023,1,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,60,27,3,57,22,9,3,16,1,4,3,Road Accident,215.3,392.1,124.0,6.6,14.2,3.6,7,16,5,1,1,1,1,19.8,Full,50,1,24.4,70.5,Cloudy,1.0,1.0,0.644,0.546,0.901,1.062,0.824,0.784,0.988,0.859,0.142,0,0,0,0.966,High,0"
"6,2023-01-06 23:00:00,2023-01-06,23:00,23,0,Friday,4,1,2023,1,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,29,0,0,29,0,6,0,1,1,1,3,Road Accident,0.0,0.0,148.1,8.8,7.2,2.4,5,12,1,0,1,1,1,46.6,Full,24,1,29.0,53.7,Clear,1.0,0.483,0.87,0.723,0.472,0.591,0.503,0.258,0.515,0.633,0.1019,0,0,0,0.552,Medium,0"
"7,2023-01-07 17:00:00,2023-01-07,17:00,17,0,Saturday,5,1,2023,1,Winter,1,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,60,27,7,53,4,6,2,3,4,3,0,Road Accident,110.4,268.2,29.4,14.3,9.6,2.4,7,16,5,0,1,1,0,50.8,Medium,13,1,40.5,69.2,Clear,1.0,1.0,0.589,0.63,1.092,0.874,0.874,1.048,0.989,1.053,0.0522,0,0,0,0.932,High,0"
"8,2023-01-08 02:00:00,2023-01-08,02:00,2,0,Sunday,6,1,2023,1,Winter,1,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,17,0,2,14,4,0,0,5,0,1,2,Cardiac Arrest,0.0,0.0,54.1,5.9,9.2,0.0,5,12,3,0,1,1,1,33.3,Full,45,1,29.1,64.1,Rain,1.1,0.283,0.812,0.918,0.305,0.429,0.345,0.1,0.339,0.378,0.1159,0,0,0,0.27,Low,0"
"9,2023-01-09 01:00:00,2023-01-09,01:00,1,0,Monday,0,1,2023,2,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,17,0,1,16,6,2,0,3,1,0,2,Cardiac Arrest,0.0,0.0,73.4,28.2,14.6,0.8,5,12,1,1,1,1,1,56.4,Full,43,1,31.7,40.5,Clear,1.0,0.283,0.462,0.882,0.372,0.34,0.143,0.1,0.332,0.244,0.1803,0,0,0,0.295,Low,0"
"10,2023-01-10 04:00:00,2023-01-10,04:00,4,0,Tuesday,1,1,2023,2,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,20,0,1,19,2,6,0,6,3,2,2,Cardiac Arrest,0.0,0.0,161.0,26.5,4.9,2.4,5,12,6,0,1,1,1,45.9,Medium,17,1,36.1,80.4,Cloudy,1.0,0.333,0.98,0.637,0.286,0.419,0.176,0.519,0.346,0.441,0.1391,0,0,0,0.309,Low,0"
