"record_id,timestamp,date,time,hour,minute,day_of_week,day_number,month,year,week_of_year,is_weekend,is_holiday,is_peak_morning,is_peak_evening,is_off_peak,road_segment_name,road_class,road_type,segment_latitude,segment_longitude,road_length_km,num_lanes,speed_limit_kmph,has_signal,is_one_way,near_hospital,near_school,near_market,weather_condition,temperature_celsius,humidity_percent,visibility_m,rainfall_mm,wind_speed_kmph,incident_type,incident_active,incident_duration_min,incident_severity,vehicle_density_pct,vehicle_count,trucks_count,two_wheelers_count,cars_count,autos_count,buses_count,ambulances_count,avg_speed_kmph,max_speed_kmph,min_speed_kmph,speed_std_dev,travel_time_min,free_flow_travel_time,delay_minutes,delay_index,queue_length_m,occupancy_rate,headway_seconds,flow_rate_veh_per_hr,saturation_flow_ratio,peak_hour_factor,weather_impact_factor,incident_impact_factor,density_lag_1h,density_lag_2h,density_lag_24h,speed_lag_1h,speed_lag_24h,density_rolling_3h_avg,density_rolling_7d_avg,congestion_level,congestion_score,is_congested"
"1,2023-01-26 23:17:00,2023-01-26,23:17,23,17,Thursday,3,1,2023,4,0,1,0,0,1,Vellore Fort Road,local,secondary,12.941198,79.134086,3.32,2,50,1,0,1,0,0,Clear,26.5,45.6,5000,0.0,0.8,Flooding,1,161,2,17.32,345,41,186,97,32,12,0,44.2,62.0,16.1,7.49,4.51,3.98,0.53,1.133,575.0,0.173,25.67,103,0.153,0.8,1.0,0.4,8.78,27.86,0.0,42.3,40.8,14.2,7.9,Free Flow,0.173,0"
"2,2024-04-15 17:07:00,2024-04-15,17:07,17,7,Monday,0,4,2024,16,0,1,0,1,0,Katpadi Road,SH66,primary,12.933074,79.140646,11.69,3,60,1,0,0,1,0,Cloudy,30.8,70.4,3000,0.0,6.8,None,0,0,0,100.0,10521,830,4376,2594,632,385,2,19.4,22.6,8.6,10.71,36.15,11.69,24.46,3.092,11690.0,1.0,5.0,900,1.011,1.9,0.97,1.0,105.51,82.86,106.75,19.9,13.3,99.25,90.8,Gridlock,1.0,1"
"3,2023-08-13 21:20:00,2023-08-13,21:20,21,20,Sunday,6,8,2023,32,1,0,0,0,0,Anna Nagar Road,local,residential,12.92481,79.130129,10.19,1,30,0,0,0,0,0,Clear,38.0,52.6,5000,0.0,9.4,None,0,0,0,27.07,827,95,396,316,79,29,1,24.6,34.4,12.7,11.71,24.85,20.38,4.47,1.219,2758.4,0.271,23.23,81,0.251,0.9,1.0,1.0,29.58,21.55,51.94,18.8,24.4,32.19,41.51,Light,0.271,0"
"4,2024-10-04 05:50:00,2024-10-04,05:50,5,50,Friday,4,10,2024,40,0,0,0,0,1,Gandhi Nagar Road,local,tertiary,12.945108,79.119615,8.33,2,40,0,0,0,0,0,Clear,34.7,61.2,5000,0.0,20.5,Festival Procession,1,74,5,8.28,413,51,228,110,32,12,0,37.8,56.0,24.6,5.42,13.22,12.49,0.73,1.058,689.7,0.083,27.93,49,0.079,0.2,1.0,0.5,0.0,24.79,26.81,34.6,41.1,10.46,0.0,Free Flow,0.083,0"
"5,2024-07-06 16:58:00,2024-07-06,16:58,16,58,Saturday,5,7,2024,27,1,0,0,0,0,Sankaranpalayam Rd,local,tertiary,12.916209,79.125574,0.51,2,40,0,0,0,1,0,Cloudy,29.8,41.1,3000,0.0,22.0,Accident,1,88,1,13.42,41,6,20,9,4,3,1,35.3,42.6,22.9,7.5,0.87,0.77,0.1,1.13,68.4,0.134,26.64,80,0.116,0.9,0.97,0.55,14.6,22.62,0.0,32.3,47.2,16.42,10.94,Free Flow,0.134,0"
"6,2024-04-07 03:15:00,2024-04-07,03:15,3,15,Sunday,6,4,2024,14,1,0,0,0,1,Kasturibai Road,local,secondary,12.925189,79.125374,3.08,2,50,1,0,1,1,0,Clear,30.1,72.4,5000,0.0,9.9,Flooding,1,28,5,7.57,139,10,74,33,8,10,3,47.5,56.9,23.2,7.29,3.89,3.7,0.19,1.051,233.2,0.076,28.11,45,0.063,0.3,1.0,0.4,12.34,1.74,3.13,53.3,36.8,10.64,13.42,Free Flow,0.076,0"
"7,2024-02-17 23:21:00,2024-02-17,23:21,23,21,Saturday,5,2,2024,7,1,0,0,0,1,Katpadi Road,SH66,primary,12.931926,79.142345,9.71,3,60,1,0,0,1,0,Light Rain,26.0,50.5,2000,5.8,24.2,None,0,0,0,18.82,1644,222,689,543,171,34,0,46.2,67.9,29.5,4.16,12.61,9.71,2.9,1.299,1827.4,0.188,25.3,169,0.178,0.9,0.88,1.0,10.23,14.86,0.0,44.3,57.8,14.12,30.18,Free Flow,0.188,0"
"8,2023-10-20 13:44:00,2023-10-20,13:44,13,44,Friday,4,10,2023,42,0,0,0,0,0,Ambur Road,NH234,primary,12.988187,79.136692,11.51,3,60,1,0,0,0,0,Clear,41.9,70.6,5000,0.0,22.4,None,0,0,0,41.93,4343,241,2244,1305,587,127,0,43.2,62.2,14.1,2.88,15.99,11.51,4.48,1.389,4826.1,0.419,19.52,377,0.444,1.3,1.0,1.0,39.04,59.59,45.41,44.5,32.2,33.57,48.22,Moderate,0.419,0"
"9,2024-06-19 10:59:00,2024-06-19,10:59,10,59,Wednesday,2,6,2024,25,0,0,1,0,0,Vellore Main Bazar,local,tertiary,12.925972,79.12659,3.5,2,40,0,0,0,0,1,Clear,36.1,57.3,5000,0.0,0.3,None,0,0,0,100.0,2100,235,1076,461,217,105,1,13.3,19.6,8.7,13.43,15.79,5.25,10.54,3.008,3500.0,1.0,5.0,600,0.911,1.8,1.0,1.0,89.73,113.35,110.18,15.1,25.0,103.08,80.31,Gridlock,1.0,1"
"10,2023-11-03 21:06:00,2023-11-03,21:06,21,6,Friday,4,11,2023,44,0,0,0,0,0,Anna Nagar Road,local,residential,12.928748,79.127876,11.3,1,30,0,0,0,1,0,Clear,26.4,46.3,5000,0.0,19.0,None,0,0,0,24.34,825,63,410,314,111,21,3,25.1,35.9,8.0,6.34,27.01,22.6,4.41,1.195,2750.4,0.243,23.91,73,0.204,0.8,1.0,1.0,38.73,10.8,21.43,28.4,26.6,16.58,42.14,Light,0.243,0"
